,iso3_country,country_name_FAOSTAT,2015,2016,2017,2018,2019,tCO2_2015_FAOSTAT,tCO2_2016_FAOSTAT,tCO2_2017_FAOSTAT,tCO2_2018_FAOSTAT,tCO2_2019_FAOSTAT,Mean_CH4_FAOSTAT,Total_CH4_FAOSTAT,Mean_CO2_FAOSTAT,Total_CO2_FAOSTAT,country_name_TRACE,tCH4_2015,tCH4_2016,tCH4_2017,tCH4_2018,tCH4_2019,tCO2_2015_TRACE,tCO2_2016_TRACE,tCO2_2017_TRACE,tCO2_2018_TRACE,tCO2_2019_TRACE,Mean_CH4_TRACE,Total_CH4_TRACE,Mean_CO2_TRACE,Total_CO2_TRACE,CH4_diff_2015,CH4_diff_2016,CH4_diff_2017,CH4_diff_2018,CH4_diff_2019,CH4_diff_means,CH4_diff_totals,CO2_diff_2015,CO2_diff_2016,CO2_diff_2017,CO2_diff_2018,CO2_diff_2019,CO2_diff_means,CO2_diff_totals,CH4_abs_percent_diff_2015,CH4_abs_percent_diff_2016,CH4_abs_percent_diff_2017,CH4_abs_percent_diff_2018,CH4_abs_percent_diff_2019,CH4_abs_percent_diff_means,CH4_abs_percent_diff_totals,CH4_relative_percent_diff_2015,CH4_relative_percent_diff_2016,CH4_relative_percent_diff_2017,CH4_relative_percent_diff_2018,CH4_relative_percent_diff_2019,CH4_relative_percent_diff_means,CH4_relative_percent_diff_totals,CO2_abs_percent_diff_2015,CO2_abs_percent_diff_2016,CO2_abs_percent_diff_2017,CO2_abs_percent_diff_2018,CO2_abs_percent_diff_2019,CO2_abs_percent_diff_means,CO2_abs_percent_diff_totals,CO2_relative_percent_diff_2015,CO2_relative_percent_diff_2016,CO2_relative_percent_diff_2017,CO2_relative_percent_diff_2018,CO2_relative_percent_diff_2019,CO2_relative_percent_diff_means,CO2_relative_percent_diff_totals
10,KOR,Korea (the Republic of),167862.2,163534.1,158489.7,154911.30000000002,153260.9,4196555.0,4088352.5,3962242.5000000005,3872782.5000000005,3831522.5,159611.64,798058.2000000001,3990291.0,19951455.0,Korea (the Republic of),145187.816330471,127459.73630764,146322.230556758,129354.321047122,132778.210695667,3629695.4082617746,3186493.407691,3658055.76391895,3233858.02617805,3319455.2673916747,136220.4629875316,681102.3149376579,3405511.5746882902,17027557.87344145,22674.383669529023,36074.36369236,12167.469443242007,25556.978952878024,20482.689304333006,23391.177012468426,116955.88506234216,566859.5917382254,901859.092309,304186.73608105024,638924.4738219506,512067.2326083253,584779.4253117098,2923897.1265585497,14.486109239229572,24.7939022696151,7.983591338447524,17.98105508414013,14.321600465417253,15.81381924155425,15.813819241554253,13.50773650621106,22.059230272071694,7.677135765442175,16.49781452539487,13.364588948866285,14.655057120187742,14.655057120187745,14.486109239229569,24.7939022696151,7.983591338447525,17.98105508414013,14.321600465417259,15.813819241554222,15.813819241554228,13.507736506211057,22.059230272071694,7.677135765442176,16.49781452539487,13.364588948866288,14.65505712018772,14.655057120187726
11,LAO,Lao People's Democratic Republic (the),94826.8,95630.0,93940.70000000001,83333.6,77005.5,2370670.0,2390750.0,2348517.5000000005,2083340.0000000002,1925137.5,88947.31999999999,444736.6,2223683.0,11118415.0,Lao People's Democratic Republic (the),16611.6948901262,16964.4089044669,11680.6335773162,10096.745681299,14610.5786176728,415292.372253155,424110.22261167254,292015.839432905,252418.642032475,365264.46544182,13992.81233417622,69964.0616708811,349820.3083544055,1749101.5417720275,78215.10510987381,78665.5910955331,82260.06642268381,73236.85431870101,62394.9213823272,74954.50766582377,374772.53832911886,1955377.6277468451,1966639.7773883275,2056501.6605670955,1830921.3579675253,1559873.03455818,1873862.6916455945,9369313.458227973,140.37358488552937,139.7326774232255,155.76411248863536,156.77316354692687,136.209543835008,145.62737771212056,145.62737771212056,82.48206742173501,82.2603692309245,87.56595003303552,87.88394395382055,81.02657781889242,84.26842727338358,84.2684272733836,140.37358488552937,139.73267742322548,155.76411248863536,156.77316354692687,136.20954383500796,145.62737771212056,145.6273777121206,82.482067421735,82.2603692309245,87.56595003303552,87.88394395382055,81.02657781889242,84.2684272733836,84.26842727338361
12,LKA,Sri Lanka,132640.0,121756.3,84456.3,111049.0,102156.3,3316000.0,3043907.5,2111407.5,2776225.0,2553907.5,110411.58,552057.9,2760289.5,13801447.5,Sri Lanka,83056.2649807851,101174.339269981,59118.4118039913,90189.137631077,84760.8793142901,2076406.6245196275,2529358.4817495253,1477960.2950997825,2254728.440776925,2119021.9828572525,83659.8066000249,418299.0330001245,2091495.1650006226,10457475.825003114,49583.7350192149,20581.960730018996,25337.888196008702,20859.862368923,17395.420685709905,26751.773399975107,133758.86699987552,1239593.3754803725,514549.0182504747,633447.2049002175,521496.55922307493,434885.5171427475,668794.3349993774,3343971.6749968864,45.975515638745044,18.464900829619147,35.295753517653,20.731519993655155,18.612971530519985,27.56900320922598,27.569003209225972,37.38218864536709,16.904226499999588,30.001181908287126,18.78437659854929,17.028240730830994,24.229137378502426,24.229137378502422,45.97551563874504,18.46490082961914,35.29575351765298,20.731519993655148,18.612971530519985,27.56900320922596,27.569003209225958,37.38218864536708,16.90422649999958,30.001181908287123,18.784376598549287,17.028240730830994,24.229137378502415,24.22913737850241
13,MMR,Myanmar,1059409.5999999999,1052287.7000000002,1087029.5,1118850.0,1083100.3,26485239.999999996,26307192.500000004,27175737.5,27971250.0,27077507.5,1080135.42,5400677.1,27003385.5,135016927.5,Myanmar,1132082.2476747,1290805.7404989,1205169.26549304,1372446.88704592,1256888.34244424,28302056.191867504,32270143.5124725,30129231.637326,34311172.176148,31422208.561106004,1251478.4966313601,6257392.4831568,31286962.415784,156434812.07892,-72672.64767470025,-238518.04049889976,-118139.76549303997,-253596.8870459199,-173788.04244424007,-171343.07663136022,-856715.3831568006,-1816816.191867508,-5962951.012472495,-2953494.1373259984,-6339922.176147997,-4344701.061106004,-4283576.915784001,-21417884.578920007,6.632253526455975,20.3592427323866,10.307986137286722,20.358624326514928,14.853750936389964,14.697379819975609,14.6973798199756,-6.859730898672265,-22.66661869172278,-10.868128739196129,-22.665852173742675,-16.04542464296613,-15.863110630272658,-15.86311063027265,6.632253526455982,20.359242732386605,10.307986137286719,20.358624326514928,14.853750936389973,14.697379819975595,14.697379819975595,-6.8597308986722725,-22.666618691722785,-10.868128739196123,-22.665852173742675,-16.045424642966136,-15.863110630272642,-15.863110630272642
14,MYS,Malaysia,121942.6,123232.8,122656.3,125238.5,122453.8,3048565.0,3080820.0,3066407.5,3130962.5,3061345.0,123104.8,615524.0,3077620.0,15388100.0,Malaysia,105739.920013,111004.908521188,111129.06002959,106652.527902965,105628.675837734,2643498.000325,2775122.7130297,2778226.50073975,2666313.197574125,2640716.89594335,108031.0184608954,540155.092304477,2700775.4615223845,13503877.307611924,16202.67998700001,12227.891478812002,11527.23997041001,18585.972097035003,16825.124162266,15073.781539104602,75368.907695523,405066.9996750001,305697.28697030013,288180.99926025,464649.30242587486,420628.10405664984,376844.53847761545,1884222.6923880763,14.232695585128699,10.440583248538674,9.861387358858584,16.029919109084563,14.753543954193127,13.043224230220165,13.043224230220163,13.287136724163673,9.922594860144377,9.398000730830793,14.840462075987018,13.739977168749359,12.244674081842952,12.24467408184295,14.232695585128694,10.44058324853868,9.861387358858579,16.029919109084556,14.753543954193118,13.04322423022018,13.043224230220174,13.287136724163668,9.922594860144383,9.398000730830786,14.840462075987013,13.739977168749352,12.244674081842964,12.244674081842959
15,NPL,Nepal,149262.2,142723.7,162574.6,153890.80000000002,156215.4,3731555.0000000005,3568092.5000000005,4064365.0,3847270.0000000005,3905385.0,152933.34000000003,764666.7000000001,3823333.5,19116667.5,Nepal,100747.863875907,66671.6095180003,80813.0000557487,92007.5245265626,116423.536613675,2518696.596897675,1666790.2379500077,2020325.0013937172,2300188.113164065,2910588.415341875,91332.70691797872,456663.5345898936,2283317.672949468,11416588.36474734,48514.33612409301,76052.09048199971,81761.59994425131,61883.27547343742,39791.863386325,61600.633082021304,308003.1654101065,1212858.4031023253,1901302.2620499928,2044039.9986062828,1547081.8868359355,994796.584658125,1540015.8270505322,7700079.13525266,38.80990658693899,72.63972689461033,67.18633153498664,50.332409212290194,29.190154480912927,50.43732754450804,50.43732754450802,32.502760996483374,53.286238012327104,50.291742956311325,40.21245940201585,25.47243318285201,40.27940086970002,40.27940086970002,38.80990658693899,72.63972689461032,67.18633153498664,50.332409212290194,29.190154480912923,50.43732754450802,50.43732754450802,32.502760996483374,53.286238012327104,50.291742956311325,40.21245940201585,25.47243318285201,40.27940086970002,40.27940086970002
16,PAK,Pakistan,383529.3,381361.8,406083.3,393404.2,424755.10000000003,9588232.5,9534045.0,10152082.5,9835105.0,10618877.5,397826.74,1989133.7,9945668.5,49728342.5,Pakistan,485243.147705049,594592.171698179,537264.091222787,453229.722583675,652854.756414432,12131078.692626225,14864804.292454474,13431602.280569676,11330743.064591875,16321368.910360798,544636.7779248244,2723183.889624122,13615919.448120613,68079597.24060306,-101713.84770504903,-213230.371698179,-131180.79122278705,-59825.52258367499,-228099.65641443193,-146810.0379248244,-734050.1896241221,-2542846.192626225,-5330759.292454474,-3279519.7805696763,-1495638.0645918753,-5702491.410360798,-3670250.9481206127,-18351254.74060306,23.4155325652273,43.69680904667133,27.811767423822037,14.13255977296664,42.33436712863702,31.154529620006937,31.154529620006944,-26.520489491949906,-55.9128815990954,-32.303911838479216,-15.20713876051018,-53.70145206365549,-36.9030090649071,-36.9030090649071,23.41553256522729,43.69680904667132,27.811767423822037,14.132559772966644,42.33436712863702,31.154529620006954,31.154529620006947,-26.520489491949895,-55.912881599095385,-32.30391183847921,-15.207138760510187,-53.70145206365549,-36.903009064907124,-36.903009064907124
17,PHL,Philippines (the),1557810.6,1524292.5,1609862.5,1606047.8,1556225.8,38945265.0,38107312.5,40246562.5,40151195.0,38905645.0,1570847.8399999999,7854239.199999999,39271196.0,196355980.0,Philippines (the),343202.0649193,407355.433529182,383682.957178099,417521.023798692,358454.960541116,8580051.6229825,10183885.83822955,9592073.929452475,10438025.5949673,8961374.0135279,382043.28799327783,1910216.4399663892,9551082.199831944,47755410.99915972,1214608.5350807002,1116937.0664708181,1226179.542821901,1188526.776201308,1197770.839458884,1188804.552006722,5944022.76003361,30365213.377017498,27923426.661770448,30654488.570547525,29713169.4050327,29944270.9864721,29720113.800168056,148600569.00084028,127.78542273754516,115.64602918401789,123.0149569358284,117.46838182357217,125.11441741550449,121.7481645511182,121.7481645511182,77.96894789910276,73.27577000285825,76.1667249732136,74.00320066447014,76.96639134622262,75.67916648163211,75.67916648163212,127.78542273754512,115.64602918401785,123.0149569358284,117.4683818235722,125.1144174155045,121.74816455111821,121.74816455111821,77.96894789910274,73.27577000285824,76.16672497321362,74.00320066447014,76.96639134622264,75.67916648163212,75.67916648163212
18,PRK,Korea (the Democratic People's Republic of),82823.3,83442.3,84596.2,83943.29999999999,82937.0,2070582.5,2086057.5,2114905.0,2098582.4999999995,2073425.0,83548.42,417742.1,2088710.5,10443552.5,Korea (the Democratic People's Republic of),114321.657592858,91776.5305569153,108545.659696923,86625.7806935666,96550.6171162604,2858041.43982145,2294413.2639228823,2713641.4924230753,2165644.517339165,2413765.42790651,99564.04913130465,497820.2456565233,2489101.2282826165,12445506.141413081,-31498.357592857996,-8334.230556915296,-23949.459696923004,-2682.480693566613,-13613.6171162604,-16015.629131304653,-80078.1456565233,-787458.93982145,-208355.76392288227,-598736.4924230753,-67062.01733916532,-340340.42790650995,-400390.7282826165,-2001953.6414130814,31.954515070994738,9.51293936893174,24.799864446272128,3.1453305401648786,15.169422086028792,17.492669076315398,17.492669076315405,-38.030792775532966,-9.98801633813461,-28.31032563746717,-3.195586417935217,-16.414407461398895,-19.169278283544624,-19.16927828354463,31.954515070994745,9.512939368931733,24.799864446272135,3.145330540164879,15.169422086028792,17.492669076315405,17.492669076315394,-38.03079277553297,-9.988016338134605,-28.31032563746718,-3.195586417935217,-16.41440746139889,-19.16927828354463,-19.16927828354462
19,THA,Thailand,1554254.0,1703327.7,1714465.6,1702989.1,1553835.5,38856350.0,42583192.5,42861640.0,42574727.5,38845887.5,1645774.3800000001,8228871.9,41144359.5,205721797.5,Thailand,1393798.06360049,1780993.09212931,1164699.0906118,916657.521458527,1305045.84650265,34844951.59001225,44524827.303232744,29117477.265295003,22916438.036463175,32626146.162566252,1312238.7228605554,6561193.614302777,32805968.071513884,164029840.35756943,160455.9363995099,-77665.39212930994,549766.5093882,786331.5785414731,248789.65349734994,333535.6571394447,1667678.2856972236,4011398.4099877477,-1941634.8032327443,13744162.734704997,19658289.463536825,6219741.337433748,8338391.428486116,41691957.14243057,10.885556492075192,4.4579932080161715,38.18930616792045,60.033408483444326,17.40468549362507,22.551330608839972,22.551330608839972,10.323662438668963,-4.5596271421705845,32.06634821883857,46.17361194745598,16.011325104707026,20.266183578544023,20.266183578544023,10.885556492075192,4.457993208016162,38.18930616792044,60.033408483444326,17.40468549362507,22.551330608839965,22.55133060883996,10.323662438668963,-4.559627142170574,32.06634821883856,46.17361194745598,16.011325104707026,20.26618357854402,20.266183578544016
